src/video_SDL2.c:101:VideoBackendInit_(): 1920x1080 -> zoom=2
src/video_SDL2.c:138:VideoBackendInit_(): Icon was loadedsrc/init.c:110:main(): Loading App: apps/lib/lsmodes.so
Mode Sz8x8   Res.    Description
177   16   192x120   glyphs(64) & attributes(8 / fg256)
178   16   192x120   glyphs(64) & attributes(8 / bg256)
179   24   160x 96   glyphs(64) & attributes(8 / fg256+bg256)
180   12   240x128   glyphs(64) & attributes(16 / fg16/bg16)
181   12   240x128   glyphs(64) & attributes(16 / fg256)
182   12   240x128   glyphs(64) & attributes(16 / bg256)
183   16   192x120   glyphs(64) & attributes(16 / fg256+bg256)
184   10   256x144   glyphs(64) & attributes(32 / fg16/bg16)
185   10   256x144   glyphs(64) & attributes(32 / fg256)
186   10   256x144   glyphs(64) & attributes(32 / bg256)
187   12   240x128   glyphs(64) & attributes(32 / fg256+bg256)
188    9   256x160   glyphs(64) & attributes(64 / fg16/bg16)
189    9   256x160   glyphs(64) & attributes(64 / fg256)
190    9   256x160   glyphs(64) & attributes(64 / bg256)
191   10   256x144   glyphs(64) & attributes(64 / fg256+bg256)
192   16   192x120   glyphs(128) & attributes(8 / fg16/bg16)
193   16   192x120   glyphs(128) & attributes(8 / fg256)
194   16   192x120   glyphs(128) & attributes(8 / bg256)
195   24   160x 96   glyphs(128) & attributes(8 / fg256+bg256)
196   12   240x128   glyphs(128) & attributes(16 / fg16/bg16)
197   12   240x128   glyphs(128) & attributes(16 / fg256)
198   12   240x128   glyphs(128) & attributes(16 / bg256)
199   16   192x120   glyphs(128) & attributes(16 / fg256+bg256)
200   10   256x144   glyphs(128) & attributes(32 / fg16/bg16)
201   10   256x144   glyphs(128) & attributes(32 / fg256)
202   10   256x144   glyphs(128) & attributes(32 / bg256)
203   12   240x128   glyphs(128) & attributes(32 / fg256+bg256)
204    9   256x160   glyphs(128) & attributes(64 / fg16/bg16)
205    9   256x160   glyphs(128) & attributes(64 / fg256)
206    9   256x160   glyphs(128) & attributes(64 / bg256)
207   10   256x144   glyphs(128) & attributes(64 / fg256+bg256)
208   16   192x120   glyphs(256) & attributes(8 / fg16/bg16)
209   16   192x120   glyphs(256) & attributes(8 / fg256)
210   16   192x120   glyphs(256) & attributes(8 / bg256)
211   24   160x 96   glyphs(256) & attributes(8 / fg256+bg256)
212   12   240x128   glyphs(256) & attributes(16 / fg16/bg16)
213   12   240x128   glyphs(256) & attributes(16 / fg256)
214   12   240x128   glyphs(256) & attributes(16 / bg256)
215   16   192x120   glyphs(256) & attributes(16 / fg256+bg256)
216   10   256x144   glyphs(256) & attributes(32 / fg16/bg16)
217   10   256x144   glyphs(256) & attributes(32 / fg256)
218   10   256x144   glyphs(256) & attributes(32 / bg256)
219   12   240x128   glyphs(256) & attributes(32 / fg256+bg256)
220    9   256x160   glyphs(256) & attributes(64 / fg16/bg16)
221    9   256x160   glyphs(256) & attributes(64 / fg256)
222    9   256x160   glyphs(256) & attributes(64 / bg256)
223   10   256x144   glyphs(256) & attributes(64 / fg256+bg256)

Number of valid video modes: 160
Default video mode: 168
src/init.c:120:main(): UnLoading App: apps/lib/lsmodes.so
src/init.c:126:main(): Shuting Down Up
