Mode Sz8x8   Res.    Description
185   10   448x288   glyphs(64) & attributes(32 / fg256)
186   10   448x288   glyphs(64) & attributes(32 / bg256)
187   12   384x280   glyphs(64) & attributes(32 / fg256+bg256)
188    9   448x320   glyphs(64) & attributes(64 / fg16/bg16)
189    9   448x320   glyphs(64) & attributes(64 / fg256)
190    9   448x320   glyphs(64) & attributes(64 / bg256)
191   10   448x288   glyphs(64) & attributes(64 / fg256+bg256)
192   16   336x240   glyphs(128) & attributes(8 / fg16/bg16)
193   16   336x240   glyphs(128) & attributes(8 / fg256)
194   16   336x240   glyphs(128) & attributes(8 / bg256)
195   24   280x192   glyphs(128) & attributes(8 / fg256+bg256)
196   12   384x280   glyphs(128) & attributes(16 / fg16/bg16)
197   12   384x280   glyphs(128) & attributes(16 / fg256)
198   12   384x280   glyphs(128) & attributes(16 / bg256)
199   16   336x240   glyphs(128) & attributes(16 / fg256+bg256)
200   10   448x288   glyphs(128) & attributes(32 / fg16/bg16)
201   10   448x288   glyphs(128) & attributes(32 / fg256)
202   10   448x288   glyphs(128) & attributes(32 / bg256)
203   12   384x280   glyphs(128) & attributes(32 / fg256+bg256)
204    9   448x320   glyphs(128) & attributes(64 / fg16/bg16)
205    9   448x320   glyphs(128) & attributes(64 / fg256)
206    9   448x320   glyphs(128) & attributes(64 / bg256)
207   10   448x288   glyphs(128) & attributes(64 / fg256+bg256)
208   16   336x240   glyphs(256) & attributes(8 / fg16/bg16)
209   16   336x240   glyphs(256) & attributes(8 / fg256)
210   16   336x240   glyphs(256) & attributes(8 / bg256)
211   24   280x192   glyphs(256) & attributes(8 / fg256+bg256)
212   12   384x280   glyphs(256) & attributes(16 / fg16/bg16)
213   12   384x280   glyphs(256) & attributes(16 / fg256)
214   12   384x280   glyphs(256) & attributes(16 / bg256)
215   16   336x240   glyphs(256) & attributes(16 / fg256+bg256)
216   10   448x288   glyphs(256) & attributes(32 / fg16/bg16)
217   10   448x288   glyphs(256) & attributes(32 / fg256)
218   10   448x288   glyphs(256) & attributes(32 / bg256)
219   12   384x280   glyphs(256) & attributes(32 / fg256+bg256)
220    9   448x320   glyphs(256) & attributes(64 / fg16/bg16)
221    9   448x320   glyphs(256) & attributes(64 / fg256)
222    9   448x320   glyphs(256) & attributes(64 / bg256)
223   10   448x288   glyphs(256) & attributes(64 / fg256+bg256)

Number of valid video modes: 167
Default video mode: 168
